year;generals;senior_officers;junior_officers;warrant_officers_and_non-commissioned_officers;privates;candidate_service;voluntary_basic_military_service;Territorial_Defence_Forces
2013;0.1;9.9;10;35.5;41.5;2.4;0;0
2014;0.1;9.9;10;36.6;40;2.4;0;0
2015;0.1;9.9;9.8;36.9;39.5;2.6;0;0
2016;0.1;9.8;9.6;36.8;42.3;3.1;0;0
2017;0.1;10.1;9.4;37.3;44.7;3.8;0;6.2
2018;0.1;10.3;9.7;38.2;46.6;4.6;0;14
2019;0.1;10.2;10.3;38.9;48.2;5.4;0;20.6
2020;0.1;10;10.8;39.2;50;6.1;0;23.6
2021;0.1;10;11;40.4;52;6.6;0;28.1
2022;0.1;9.9;11.6;46;50.7;7;0;31.7
2023;0.1;10.2;12.4;52.2;59.4;8.2;14.5;34.9
